started at 2024_08_04_001618:  Training starting...
2024_08_04_001619 | duration: 0:00:01.331701 | num_steps:  50 | new best reward: -6.3 | percent improved: 100.0%
2024_08_04_001620 | duration: 0:00:02.100955 | num_steps:  50 | new best reward: -0.3 | percent improved: 95.2%
2024_08_04_001651 | duration: 0:00:33.241678 | num_steps:  50 | new best reward: 0.9 | percent improved: 400.0%
2024_08_04_001657 | duration: 0:00:39.057626 | num_steps:  50 | new best reward: 3.9 | percent improved: -333.3%
2024_08_04_001758 | duration: 0:01:40.613010 | num_steps:  55 | new best reward: 4.4 | percent improved: -12.8%
2024_08_04_001851 | duration: 0:02:33.304711 | num_steps:  57 | new best reward: 4.6 | percent improved: -4.5%
2024_08_04_001947 | duration: 0:03:29.549436 | num_steps:  65 | new best reward: 6.3 | percent improved: -37.0%
2024_08_04_002006 | duration: 0:03:48.510360 | num_steps:  69 | new best reward: 6.7 | percent improved: -6.3%
2024_08_04_002033 | duration: 0:04:15.828209 | num_steps:  86 | new best reward: 8.4 | percent improved: -25.4%
2024_08_04_002058 | duration: 0:04:40.747478 | num_steps:  91 | new best reward: 8.9 | percent improved: -6.0%
2024_08_04_002129 | duration: 0:05:11.706230 | num_steps:  97 | new best reward: 9.5 | percent improved: -6.7%
2024_08_04_002332 | duration: 0:07:14.512494 | num_steps:  98 | new best reward: 10.5 | percent improved: -10.5%
2024_08_04_002527 | duration: 0:09:09.302163 | num_steps:  122 | new best reward: 11.1 | percent improved: -5.7%
2024_08_04_002537 | duration: 0:09:19.027709 | num_steps:  122 | new best reward: 12.9 | percent improved: -16.2%
2024_08_04_002822 | duration: 0:12:04.727570 | num_steps:  180 | new best reward: 20.5 | percent improved: -58.9%
2024_08_04_002851 | duration: 0:12:33.040386 | num_steps:  204 | new best reward: 22.9 | percent improved: -11.7%
2024_08_04_003032 | duration: 0:14:14.211133 | num_steps:  207 | new best reward: 23.2 | percent improved: -1.3%
2024_08_04_003037 | duration: 0:14:19.566183 | num_steps:  209 | new best reward: 23.4 | percent improved: -0.9%
2024_08_04_003057 | duration: 0:14:39.166379 | num_steps:  243 | new best reward: 27.7 | percent improved: -18.4%
2024_08_04_004828 | duration: 0:32:10.190315 | num_steps:  312 | new best reward: 36.4 | percent improved: -31.4%
2024_08_04_005256 | duration: 0:36:38.378110 | num_steps:  319 | new best reward: 37.1 | percent improved: -1.9%
2024_08_04_012110 | duration: 1:04:52.877298 | num_steps:  348 | new best reward: 40.9 | percent improved: -10.2%
2024_08_04_014108 | duration: 1:24:50.673810 | num_steps:  389 | new best reward: 42.9 | percent improved: -4.9%
2024_08_04_023425 | duration: 2:18:06.971437 | num_steps:  409 | new best reward: 48.8 | percent improved: -13.8%
2024_08_04_031719 | duration: 3:01:01.632908 | num_steps:  430 | new best reward: 50.9 | percent improved: -4.3%
2024_08_04_040728 | duration: 3:51:10.049351 | num_steps:  538 | new best reward: 64.4 | percent improved: -26.5%
2024_08_04_081538 | duration: 7:59:20.439117 | num_steps:  542 | new best reward: 64.8 | percent improved: -0.6%
2024_08_04_092719 | duration: 9:11:01.643826 | num_steps:  574 | new best reward: 68.9 | percent improved: -6.3%
2024_08_04_140415 | duration: 13:47:57.249529 | num_steps:  576 | new best reward: 69.1 | percent improved: -0.3%
