started at 2024_08_04_083123:  Training starting...
2024_08_04_083125 | duration: 0:00:01.874679 | num_steps:  50 | new best reward: -8.1 | percent improved: 100.0%
2024_08_04_083126 | duration: 0:00:02.420193 | num_steps:  50 | new best reward: -7.5 | percent improved: 7.4%
2024_08_04_083126 | duration: 0:00:03.158319 | num_steps:  50 | new best reward: -6.9 | percent improved: 8.0%
2024_08_04_083136 | duration: 0:00:12.490163 | num_steps:  50 | new best reward: -6.3 | percent improved: 8.7%
2024_08_04_083141 | duration: 0:00:18.004881 | num_steps:  50 | new best reward: -5.1 | percent improved: 19.0%
2024_08_04_083148 | duration: 0:00:24.642239 | num_steps:  50 | new best reward: -4.5 | percent improved: 11.8%
2024_08_04_083150 | duration: 0:00:26.581067 | num_steps:  50 | new best reward: 2.7 | percent improved: 160.0%
2024_08_04_083955 | duration: 0:08:32.070143 | num_steps:  50 | new best reward: 3.9 | percent improved: -44.4%
2024_08_04_084458 | duration: 0:13:34.838874 | num_steps:  52 | new best reward: 4.1 | percent improved: -5.1%
2024_08_04_084543 | duration: 0:14:20.192250 | num_steps:  55 | new best reward: 4.4 | percent improved: -7.3%
2024_08_04_084735 | duration: 0:16:11.463906 | num_steps:  59 | new best reward: 4.8 | percent improved: -9.1%
2024_08_04_085207 | duration: 0:20:44.215863 | num_steps:  66 | new best reward: 6.4 | percent improved: -33.3%
2024_08_04_090014 | duration: 0:28:50.406593 | num_steps:  87 | new best reward: 8.5 | percent improved: -32.8%
2024_08_04_090802 | duration: 0:36:39.388063 | num_steps:  98 | new best reward: 10.5 | percent improved: -23.5%
2024_08_04_091134 | duration: 0:40:11.305214 | num_steps:  100 | new best reward: 10.7 | percent improved: -1.9%
2024_08_04_095135 | duration: 1:20:12.157777 | num_steps:  101 | new best reward: 10.8 | percent improved: -0.9%
2024_08_04_095243 | duration: 1:21:19.515157 | num_steps:  122 | new best reward: 12.9 | percent improved: -19.4%
2024_08_04_101644 | duration: 1:45:20.442371 | num_steps:  128 | new best reward: 13.5 | percent improved: -4.7%
2024_08_04_101846 | duration: 1:47:22.960466 | num_steps:  130 | new best reward: 13.7 | percent improved: -1.5%
2024_08_04_101848 | duration: 1:47:25.155355 | num_steps:  133 | new best reward: 14.0 | percent improved: -2.2%
2024_08_04_102136 | duration: 1:50:12.693170 | num_steps:  163 | new best reward: 17.9 | percent improved: -27.9%
2024_08_04_102536 | duration: 1:54:13.313327 | num_steps:  170 | new best reward: 18.6 | percent improved: -3.9%
2024_08_04_103153 | duration: 2:00:30.381010 | num_steps:  173 | new best reward: 18.9 | percent improved: -1.6%
2024_08_04_104037 | duration: 2:09:13.899177 | num_steps:  177 | new best reward: 20.2 | percent improved: -6.9%
2024_08_04_104852 | duration: 2:17:28.902712 | num_steps:  183 | new best reward: 20.8 | percent improved: -3.0%
2024_08_04_105146 | duration: 2:20:23.173886 | num_steps:  235 | new best reward: 26.9 | percent improved: -29.3%
2024_08_04_122218 | duration: 3:50:54.936667 | num_steps:  312 | new best reward: 36.4 | percent improved: -35.3%
2024_08_04_145245 | duration: 6:21:21.496749 | num_steps:  315 | new best reward: 36.7 | percent improved: -0.8%
2024_08_04_153438 | duration: 7:03:15.236647 | num_steps:  353 | new best reward: 41.4 | percent improved: -12.8%
2024_08_04_163935 | duration: 8:08:11.848789 | num_steps:  389 | new best reward: 45.9 | percent improved: -10.9%
2024_08_04_172629 | duration: 8:55:06.354631 | num_steps:  408 | new best reward: 48.7 | percent improved: -6.1%
2024_08_04_203341 | duration: 12:02:17.675719 | num_steps:  438 | new best reward: 52.6 | percent improved: -8.0%
2024_08_04_203849 | duration: 12:07:26.289842 | num_steps:  517 | new best reward: 62.3 | percent improved: -18.4%
2024_08_04_211150 | duration: 12:40:26.695086 | num_steps:  574 | new best reward: 68.9 | percent improved: -10.6%
2024_08_05_001305 | duration: 15:41:41.467353 | num_steps:  630 | new best reward: 76.3 | percent improved: -10.7%
2024_08_05_022428 | duration: 17:53:04.734424 | num_steps:  669 | new best reward: 81.1 | percent improved: -6.3%
2024_08_05_041851 | duration: 19:47:27.897950 | num_steps:  819 | new best reward: 99.7 | percent improved: -22.9%
